Sensor Type	Diode
Model Number	Si410
Serial Number	(Standard)
Current	10
Number of Data Points	60

Temperature	Data
1.00000	1.71910
2.00000	1.70856
3.00000	1.68516
4.00000	1.65303
5.00000	1.61244
6.00000	1.56591
7.00000	1.51786
8.00000	1.47226
9.00000	1.43090
10.00000	1.39562
11.00000	1.36562
12.00000	1.33853
13.00000	1.31424
14.00000	1.29181
15.00000	1.27117
16.00000	1.25167
17.00000	1.23331
18.00000	1.21510
19.00000	1.19635
20.00000	1.17592
21.00000	1.15236
22.00000	1.12932
23.00000	1.11924
24.00000	1.11457
25.00000	1.11145
26.00000	1.10897
27.00000	1.10688
28.00000	1.10492
29.00000	1.10311
30.00000	1.10136
31.00000	1.09968
32.00000	1.09803
33.00000	1.09644
34.00000	1.09485
35.00000	1.09328
36.00000	1.09173
37.00000	1.09017
38.00000	1.08862
39.00000	1.08706
40.00000	1.08549
50.00000	1.06957
60.00000	1.05300
70.00000	1.03614
80.00000	1.01898
90.00000	1.00138
100.00000	0.98322
125.00000	0.93592
150.00000	0.88603
175.00000	0.83411
200.00000	0.78059
225.00000	0.72589
250.00000	0.67023
275.00000	0.61380
300.00000	0.55672
325.00000	0.49916
350.00000	0.44105
375.00000	0.38225
400.00000	0.32319
425.00000	0.26387
450.00000	0.20429
