Sensor Type	RTD
Model Number	PT100
Serial Number	(Standard)
Current	1000
Number of Data Points	29

Temperature	Data
30	3.57
32	3.997
36	4.953
38	5.48
40	6.038
42	6.635
46	7.911
52	10.055
58	12.39
65	15.18
75	19.319
85	23.618
105	32.116
140	46.707
180	63.028
210	75.072
270	98.768
315	116.255
355	131.603
400	148.648
445	165.459
490	182.036
535	198.379
585	216.264
630	232.114
675	247.729
715	261.414
760	276.587
800	289.879
