Sensor Type	RTD
Model Number	RO105
Serial Number	(Standard)
Current	10
Number of Data Points	54

Temperature	Data
2	239556.1
3	221769.1
4	207807.5
5	196463.8
6	187171.8
7	179524
8	173177.5
9	167849.6
10	163317.2
11	159409.7
12	155998.4
13	152986.3
14	150299.6
15	147881.5
16	145688
17	143684.4
18	141872.3
19	140225.3
20	138709.8
21	137309.5
22	136010.9
23	134802.4
24	133674.5
25	132618.6
26	131627.6
27	130695.3
28	129816.3
29	128985.8
30	128199.6
31	127454
32	126745.8
33	126071.9
34	125429.8
35	124817.2
36	124231.9
37	123672
38	123135.8
39	122621.7
40	122128.3
50	118091.3
60	115178.9
70	112963
77	111703.2
80	111217.5
90	109788.7
100	108595.9
125	106313.6
150	104652.7
175	103401.2
200	102432
225	101659.2
250	101053.9
270	100658.9
273	100604.9
