Sensor Type	Diode
Model Number	DT670
Serial Number	(Standard)
Current	10
Number of Data Points	62

Temperature	Data
1.4	1.64429
2	1.63472
3	1.612
4	1.58465
5	1.55145
6	1.51541
7	1.47868
8	1.44374
9	1.41207
10	1.38373
11	1.3582
12	1.33499
13	1.31381
14	1.29439
15	1.27645
16	1.25967
17	1.24372
18	1.2283
19	1.21311
20	1.197748
21	1.181548
22	1.162797
23	1.140817
24	1.125923
25	1.119448
26	1.115658
27	1.11281
28	1.110421
29	1.108261
30	1.106244
31	1.104324
32	1.102476
33	1.100681
34	1.09893
35	1.097216
36	1.095534
37	1.093878
38	1.092244
39	1.090627
40	1.089024
50	1.073099
60	1.056862
70	1.040183
80	1.022984
90	1.005244
100	0.986974
125	0.939242
150	0.889114
175	0.837138
200	0.78372
225	0.729105
250	0.673462
275	0.61693
300	0.559639
325	0.501744
350	0.443371
375	0.384757
400	0.325839
425	0.266514
450	0.206758
475	0.147191
500	0.090681
